case,covariance_min_eigenvalue,dt_cov,dt_pde,final_adjoint_frobenius_norm,k,logarithmic_negativity,mode_x,mode_y,nsteps,nu_physical_min,nu_pt,selection_symplectic_error,mode_class,k_over_kdom,angle_degrees,observed_refinement_ratio_nu_pt,richardson_nu_pt,absolute_nu_pt_error_to_richardson,observed_refinement_ratio_logarithmic_negativity,richardson_logarithmic_negativity,absolute_logarithmic_negativity_error_to_richardson
labyrinth,0.2579650276760398,0.0125,0.05,328.7218311416435,0.6381360077604268,0.950202845208591,13,0,6400,164.18020918168762,0.2587798435463204,1.3322676295501878e-15,dominant_shell,1.0,0.0,3.9891713795826367,0.2585518167776072,0.0002280267687132,3.9631056587304223,0.9514724148596868,0.0012695696510957
labyrinth,0.2575019834583961,0.0125,0.05,328.7218311416435,0.6381360077604268,0.9542968468272012,12,5,6400,166.39553039572405,0.2580465331297795,1.3322676295501878e-15,dominant_shell,1.0,22.61986494804043,3.989087220282781,0.2578164642033728,0.0002300689264067,3.9627171689441782,0.9555814065792816,0.0012845597520803
labyrinth,0.2569633266916603,0.0125,0.05,328.7218311416435,0.6247804131785202,0.956512540571773,9,9,6400,153.3233961653013,0.257650528950944,1.3322676295501878e-15,dominant_shell,0.979070927796758,45.0,3.989432822579031,0.2574275317382493,0.0002229972126946,3.96382313596124,0.9577595786642076,0.0012470380924344
labyrinth,0.2573691767409408,0.0125,0.05,328.7218311416435,0.6381360077604268,0.9567570674729606,5,12,6400,173.13776934345432,0.2576068626564703,1.3322676295501878e-15,dominant_shell,1.0,67.38013505195957,3.9890899619602433,0.257376698161898,0.0002301644945723,3.962664416760221,0.9580443505037533,0.0012872830307925
labyrinth,0.2574937335285977,0.0125,0.05,328.7218311416435,0.6381360077604268,0.956116078379288,0,13,6400,172.99667494112222,0.2577213427595198,1.3322676295501878e-15,dominant_shell,1.0,90.0,3.9891803652838207,0.2574931000358281,0.0002282427236916,3.962983905714323,0.9573920611309872,0.0012759827516992
labyrinth,0.2580177151669426,0.0125,0.025,330.8647291342085,0.6381360077604268,0.9498933513223952,13,0,6400,165.27830764675355,0.2588353641993498,1.3322676295501878e-15,dominant_shell,1.0,0.0,,,,,,
labyrinth,0.2575386304700046,0.0125,0.025,330.8647291342085,0.6381360077604268,0.954053494249274,12,5,6400,167.4891099974152,0.2580900638717538,1.3322676295501878e-15,dominant_shell,1.0,22.61986494804043,,,,,,
labyrinth,0.2569928129428829,0.0125,0.025,330.8647291342085,0.6247804131785202,0.9562931018286416,9,9,6400,154.3917669003758,0.2576897214391024,1.3322676295501878e-15,dominant_shell,0.979070927796758,45.0,,,,,,
labyrinth,0.2574053658709133,0.0125,0.025,330.8647291342085,0.6381360077604268,0.9565397214700292,5,12,6400,174.27892321397258,0.257645674767181,1.3322676295501878e-15,dominant_shell,1.0,67.38013505195957,,,,,,
labyrinth,0.2575334822356812,0.0125,0.025,330.8647291342085,0.6381360077604268,0.9558886698670976,0,13,6400,174.12778222362792,0.2577619699501724,1.3322676295501878e-15,dominant_shell,1.0,90.0,,,,,,
labyrinth,0.2595881243073545,0.0125,0.05,328.7218311416435,0.9817477042468103,0.9446188992243536,20,0,6400,31.38979824626187,0.2597833908634608,1.3322676295501878e-15,high_k_control,1.5384615384615383,0.0,3.97308493561272,0.2592066303132776,0.0005767605501831,3.9087727495905975,0.9478112925820562,0.0031923933577027
labyrinth,0.2596137698073152,0.0125,0.025,330.8647291342085,0.9817477042468103,0.9444592838744112,20,0,6400,31.579811577816088,0.2598121340902373,1.3322676295501878e-15,high_k_control,1.5384615384615383,0.0,,,,,,
labyrinth,0.2920710623911769,0.0125,0.05,328.7218311416435,0.196349540849362,0.7703082449397499,4,0,6400,33.78078991404738,0.29314609728189,1.3322676295501878e-15,low_k_control,0.3076923076923076,0.0,3.996855012878876,0.2930774867075872,6.861057430274098e-05,3.9898606485626287,0.7706457878978726,0.0003375429581227
labyrinth,0.2922943766770777,0.0125,0.025,330.8647291342085,0.196349540849362,0.7690636640184795,4,0,6400,33.9979947571886,0.2933990970123661,1.3322676295501878e-15,low_k_control,0.3076923076923076,0.0,,,,,,
spot,0.2537891136598195,0.0125,0.05,188.76946451417572,0.5890486225480862,0.9757501557220708,12,0,4000,98.62021420181117,0.2542376931038521,8.881784197001252e-16,dominant_shell,1.0,0.0,3.9907053811443,0.2540429647431917,0.0001947283606603,3.9680055751873615,0.9768538920209764,0.0011037362989055
spot,0.2534453555468186,0.0125,0.05,188.76946451417572,0.5931251322442569,0.9772987599166248,11,5,4000,101.38270513901514,0.2539649380764702,8.881784197001252e-16,dominant_shell,1.0069204977995478,24.443954780416536,3.990521252723364,0.2537663154575195,0.0001986226189507,3.9673484247281503,0.9784257510351292,0.0011269911185044
spot,0.2543831526306456,0.0125,0.05,188.76946451417572,0.5553603672697958,0.9721645323099286,8,8,4000,85.17612451851593,0.2548703523754852,8.881784197001252e-16,dominant_shell,0.9428090415820634,45.0,3.991501374219515,0.2546921979987284,0.0001781543767568,3.9707633506592255,0.973171920268531,0.0010073879586024
spot,0.2533985678808058,0.0125,0.05,188.76946451417572,0.5931251322442569,0.9782878138575936,5,11,4000,100.9020302055932,0.2537908895532325,8.881784197001252e-16,dominant_shell,1.0069204977995478,65.55604521958347,3.990521719201036,0.2535922319131886,0.0001986576400438,3.967329068242887,0.9794157755693318,0.0011279617117381
spot,0.2539635028635831,0.0125,0.05,188.76946451417572,0.5890486225480862,0.9771234908452447,0,12,4000,98.36424906679926,0.2539957934558401,8.881784197001252e-16,dominant_shell,1.0,90.0,3.9907060799776968,0.2538010180847183,0.0001947753711218,3.9679793786017536,0.9782285435166596,0.0011050526714148
spot,0.2537704413106545,0.0125,0.025,189.38975668797275,0.5890486225480862,0.975850277268175,12,0,4000,98.94086650175734,0.2542200498826955,8.881784197001252e-16,dominant_shell,1.0,0.0,,,,,,
spot,0.2534278463585469,0.0125,0.025,189.38975668797275,0.5931251322442569,0.9773992795713058,11,5,4000,101.71337092404168,0.2539472437073715,8.881784197001252e-16,dominant_shell,1.0069204977995478,24.443954780416536,,,,,,
spot,0.2543669342274692,0.0125,0.025,189.38975668797275,0.5553603672697958,0.9722536013280106,8,8,4000,85.44549934804988,0.2548546176909973,8.881784197001252e-16,dominant_shell,0.9428090415820634,45.0,,,,,,
spot,0.2533826185946882,0.0125,0.025,189.38975668797275,0.5931251322442569,0.97837874311364,5,11,4000,101.23764519341772,0.2537748942881918,8.881784197001252e-16,dominant_shell,1.0069204977995478,65.55604521958347,,,,,,
spot,0.2539455647374894,0.0125,0.025,189.38975668797275,0.5890486225480862,0.9772172215854747,0,12,4000,98.67652872106888,0.2539792920888082,8.881784197001252e-16,dominant_shell,1.0,90.0,,,,,,
spot,0.2566297303650604,0.0125,0.05,188.76946451417572,0.9817477042468103,0.961958396248599,20,0,4000,11.293632581823546,0.2566797883325686,8.881784197001252e-16,high_k_control,1.6666666666666667,0.0,3.97321246510946,0.2561079505081153,0.0005718378244532,3.908679547108296,0.965161776337689,0.0032033800890899
spot,0.2566175455636178,0.0125,0.025,189.38975668797275,0.9817477042468103,0.9620262221213348,20,0,4000,11.300101629136176,0.2566677212491376,8.881784197001252e-16,high_k_control,1.6666666666666667,0.0,,,,,,
spot,0.2728341272671612,0.0125,0.05,188.76946451417572,0.196349540849362,0.8715817211536792,4,0,4000,9.811546455065312,0.2732736531939986,8.881784197001252e-16,low_k_control,0.3333333333333333,0.0,3.996940473455795,0.2732058649271462,6.77882668524421e-05,3.989528205451828,0.8719394630132948,0.0003577418596156
spot,0.2727851658961954,0.0125,0.025,189.38975668797275,0.196349540849362,0.8718259213560808,4,0,4000,9.801403627817,0.2732274009840922,8.881784197001252e-16,low_k_control,0.3333333333333333,0.0,,,,,,
